CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
13859.9952961493,12349.2958164315,14373.5111129483,13835.4583517049,12115.6206870958,10155.2603755144,9733.38019326867
13855.2985261647,12346.6428766468,14366.7399834401,13831.3817962023,12115.5461875322,10148.0401946714,9729.46104106867
13850.7152473095,12344.52642636,14359.9240395105,13827.4291275984,12115.2943240454,10141.4361344538,9725.77498894295
13846.2079534884,12342.9971842008,14353.0760454042,13823.489013289,12114.9057279439,10135.3109590255,9722.15744555186
13841.7546557971,12341.9896302869,14346.2587610914,13819.538494898,12114.4687836439,10129.5019006951,9718.41444025436
13837.3059564541,12341.3446719248,14339.5338632156,13815.5833692513,12113.9693782863,10124.0240320669,9714.49870214027
13832.8833874796,12340.8608622608,14332.9635172823,13811.5562457351,12113.3436990061,10118.9344974781,9710.49965064531
13828.5737014338,12340.3685394844,14326.6004732189,13807.4081368398,12112.6075169007,10114.2201352054,9706.57288945844
13824.3366194196,12339.7594233631,14320.5073125,13803.215313244,12111.7434073661,10109.8757823661,9702.99155543155
13820.1339276399,12338.999950816,14314.7174144869,13799.0304243982,12110.6718466354,10105.7024670244,9699.95381846635
13816.0636703239,12338.1457762353,14309.2246988357,13794.8024264816,12109.3962501866,10101.6507799672,9697.41226526347
13812.220632055,12337.2569447559,14304.0504489048,13790.5886510428,12108.0078264932,10097.5806559767,9695.39954175077
13808.6746960168,12336.3309939353,14299.2304462414,13786.5875793651,12106.5439708745,10093.4667280623,9693.69372828691
13805.500511811,12335.4068376453,14294.8014776903,13782.8879407574,12105.0372729659,10089.5101342332,9692.07985339333
13802.7088440739,12334.5282969055,14290.7441321166,13779.3932672375,12103.5211044765,10085.8248321316,9690.4849173802
13800.2078217859,12333.6535695479,14286.9687914692,13776.0476950275,12102.0143789965,10082.3511284135,9688.92561423306
13797.9278812538,12332.6999359554,14283.4019009946,13772.8306216094,12100.5624755124,10079.0573854732,9687.37610269741
13795.8393992906,12331.6366142178,14280.0588219757,13769.6306599502,12099.1959818127,10075.8910512414,9685.92969172138
13793.9079599395,12330.4848325775,14276.857749811,13766.3092278912,12097.9323261527,10072.6960086924,9684.5651095994
13792.1065837686,12329.29180483,14273.6717552426,13762.8603134227,12096.8361143917,10069.5277382845,9683.25015898251
13790.4263095238,12328.0842989839,14270.4748968759,13759.3358473612,12095.9420602063,10066.3524909008,9681.96315665757
13788.8364654059,12326.927608415,14267.3175412015,13755.7428943571,12095.2167581833,10063.1655798587,9680.64961114909
13787.1918674882,12325.9757812262,14264.2583884832,13752.1441678077,12094.651400426,10060.0273512856,9679.46392971246
13785.3936148571,12325.2911660952,14261.3674609524,13748.6469405714,12094.2153961905,10056.949192,9678.30979809524
13783.5331440781,12324.8121855922,14258.6304933608,13745.3230299908,12093.8323630189,10053.8918303571,9677.09113782051
